year,birth_total,birth_male,birth_female,birth_rate,birth_gender_ratio,total_fertility_rate,population_male,population_female,population_total,total_death,death_rate(CDR),Life_expectancy_at_birth,infant_death_total,infant_death_male,infant_death_female,infant_death_unknown_gender,infant_death_rate,infant_death_gender_ratio,infant_deaths_in_total_deaths,stillbirth_total,stillbirth_male,stillbirth_female,stillbirth_unknown_gender,stillbirth_rate,stillbirth_gender_ratio,firstborn,secondborn,thirdborn,forthborn,fifthborn_and_above,weeks_under_28,weeks_28-31,weeks_32-36,weeks_37-41,weeks_over_42,mother_age_avg,mother_age_firstborn,mother_age_secondborn,mother_age_thirdborn,mother_age_under_19,mother_age_20-24,mother_age_25-29,mother_age_30-34,mother_age_35-39,mother_age_40-44,mother_age_over_45,father_age_avg,father_age_firstborn,father_age_secondborn,father_age_thirdborn,legitimate_child,illegitimate_child
2009,1070036,548994,521042,8.5,105.4,1.4,61339000,64481000,125820000,1141865.06,9.08,83.01,2556,1441,1115,0,2.4,129.2,0.2,27005,11952,5305,9748,24.6,225.3,512743,390073,134171,25303,7746,2717,4875,53397,1004681,3942,31.0,29.7,31.7,33.1,14687,116808,307765,389793,209707,30566,704,33.0,31.8,33.6,34.9,1047176,22860
2010,1071305,550743,520562,8.5,105.8,1.4,61571727,64810001,126381728,1197013.95,9.47,82.95,2450,1355,1095,0,2.3,123.7,0.2,26560,11796,5216,9548,24.2,226.2,509736,390213,136302,26885,8169,2782,5025,53508,1006034,3582,31.2,29.9,31.8,33.2,13546,110956,306910,384386,220101,34609,792,33.1,32.0,33.7,35.0,1048319,22986
2011,1050807,538271,512536,8.3,105.0,1.4,61453000,64727000,126180000,1253067.98,9.93,82.71,2463,1269,1194,0,2.3,106.3,0.2,25751,11420,5061,9270,23.9,225.6,494713,383666,136687,27280,8461,2667,5101,52517,986929,3218,31.3,30.1,32.0,33.2,13318,104060,300384,373490,221272,37437,843,33.3,32.1,33.8,35.0,1027453,23354
2012,1037232,531781,505451,8.2,105.2,1.4,61328000,64630000,125957000,1256358.99,9.97,83.21,2299,1222,1077,0,2.2,113.5,0.2,24800,11015,4995,8790,23.4,220.5,484711,382461,134339,27218,8503,2671,4960,51883,974497,2905,31.5,30.3,32.1,33.3,12771,95805,292464,367715,225480,42031,960,33.5,32.3,34.0,35.2,1014094,23138
2013,1029817,527657,502160,8.2,105.1,1.4,61186000,64518000,125704000,1268437.98,10.09,83.43,2185,1193,992,0,2.1,120.3,0.2,24102,10456,4824,8822,22.9,216.7,481418,379467,133183,27193,8556,2630,4710,51895,967629,2695,31.6,30.4,32.3,33.4,12964,91251,282794,365404,229741,46546,1116,33.6,32.5,34.2,35.2,1007027,22790
2014,1003609,515572,488037,8.0,105.6,1.4,61041000,64391000,125431000,1273025.04,10.15,83.68,2080,1110,970,0,2.1,114.4,0.2,23526,10257,4652,8617,22.9,220.5,474229,364787,129687,26449,8457,2580,4693,49636,944024,2435,31.7,30.6,32.4,33.4,13013,86600,267866,359348,225899,49610,1272,33.7,32.6,34.3,35.3,980755,22854
2015,1005721,515468,490253,8.0,105.1,1.5,61022756,64296543,125319299,1290510.05,10.30,83.92,1916,1042,874,0,1.9,119.2,0.1,22621,10103,4662,7856,22.0,216.7,478101,363244,129708,26271,8397,2544,4559,49044,947179,2171,31.8,30.7,32.5,33.5,11930,84465,262266,364887,228302,52561,1308,33.8,32.7,34.4,35.4,982686,23035
2016,977242,502012,475230,7.8,105.6,1.4,60866773,64153479,125020252,1308158.04,10.46,84.10,1929,980,949,0,2.0,103.3,0.1,20941,9352,4456,7133,21.0,209.9,459873,355876,126570,26427,8496,2439,4310,47861,920542,1887,31.9,30.7,32.6,33.6,11099,82194,250715,355018,223329,53484,1401,33.9,32.8,34.5,35.5,954835,22407
2017,946146,484478,461668,7.6,104.9,1.4,60675736,63972735,124648471,1340567.03,10.75,84.22,1762,930,832,0,1.9,111.8,0.1,20364,9133,4236,6995,21.1,215.6,439295,348859,123050,26230,8712,2241,4376,46944,890778,1612,32.0,30.7,32.6,33.7,9900,79272,240959,345441,216954,52108,1512,34.0,32.8,34.6,35.5,925044,21102
2018,918400,470851,447549,7.4,105.2,1.4,60454898,63763387,124218285,1362469.99,10.97,84.32,1748,932,816,0,1.9,114.2,0.1,19614,8712,4109,6793,20.9,212.0,426407,338094,119732,25546,8621,2357,4137,45238,864959,1507,32.0,30.7,32.7,33.7,8778,77023,233754,334906,211021,51258,1659,34.0,32.8,34.6,35.6,897359,21041
2019,865239,443430,421809,7.0,105.1,1.4,60208034,63523142,123731176,1381092.97,11.16,84.46,1654,892,762,0,1.9,117.1,0.1,19454,8374,4037,7043,22.0,207.4,400952,315713,114630,25106,8838,2163,3945,42430,815227,1282,32.0,30.7,32.7,33.8,7782,72092,220933,312582,201010,49191,1649,34.0,32.8,34.7,35.7,845068,20171
2020,840835,430713,410122,6.8,105.0,1.3,60002838,63396124,123398962,1372755.03,11.12,84.71,1512,800,712,0,1.8,112.4,0.1,17278,7434,3611,6233,20.1,205.9,392538,304028,110818,24788,8663,2174,3728,40200,793472,1067,32.0,30.7,32.8,33.9,6948,66751,217804,303436,196321,47899,1676,34.1,32.8,34.7,35.8,820795,20040
2021,811622,415903,395719,6.6,105.1,1.3,59686643,63093844,122780487,1439856.02,11.73,84.58,1399,762,637,0,1.7,119.6,0.1,16277,7193,3364,5720,19.7,213.8,372434,294444,109953,25549,9242,2065,3655,40627,764212,906,32.2,30.9,32.8,34.0,5542,59896,210433,292439,193177,48517,1617,34.2,32.9,34.8,35.9,793020,18602
2022,770759,395257,375502,6.3,105.3,1.3,59313678,62716845,122030523,1569049.97,12.86,84.10,1356,735,621,0,1.8,118.4,0.1,15179,6604,3189,5386,19.3,207.1,355523,281418,101233,23677,8908,2004,3470,37853,726476,812,32.2,30.9,32.9,34.1,4558,52850,202505,279517,183327,46338,1658,34.2,32.9,34.8,36.0,753031,17728
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
